Price_log,Area_log,Expenses_per_sqm_sqrt,Subway Station_sqrt,Grocery Store_log,Gym,Bakery_log,Elevator,Balcony,Patio,Fireplace,District_Hökmossen_Floor_Lo,District_LM-Staden_Floor_Lo,District_Midsommarkransen_Floor_Mid,District_Midsommarkransen_Floor_Hi,District_Telefonplan_Floor_Lo,District_Telefonplan_Floor_Mid,District_Telefonplan_Floor_Hi
15.377856862864524,4.290459441148391,8.360921471935361,21.330729007701542,5.996452088619021,208,5.0689042022202315,1,1,0,0,0,0,0,0,0,1,0
14.77102200299171,4.04305126783455,8.682509136895895,26.324893162176366,6.364750756851911,553,6.637258031284457,0,0,0,0,1,0,0,0,0,0,0
15.135932174933457,3.9318256327243257,9.166221023035462,17.349351572897472,5.4638318050256105,345,4.859812404361672,0,0,0,0,0,1,0,0,0,0,0
14.830741237693333,3.828641396489095,8.266821813759215,19.493588689617926,4.23410650459726,96,5.4680601411351315,1,1,0,0,0,0,0,0,1,0,0
15.29711509888849,4.110873864173311,7.762879303581063,14.696938456699069,4.653960350157523,233,5.545177444479562,1,1,0,0,0,0,0,0,0,1,0
14.817978986079481,3.6375861597263857,8.755661032782855,21.2602916254693,5.564520407322694,121,4.8283137373023015,1,1,0,0,0,0,1,0,0,0,0
14.71159858252091,3.4657359027997265,8.422796451964008,20.29778313018444,4.983606621708336,2,5.1647859739235145,1,1,0,0,0,0,0,0,1,0,0
15.346986928928663,3.9889840465642745,9.071730611977864,12.649110640673518,5.220355825078324,668,5.455321115357702,0,0,0,1,0,0,0,0,0,0,0
14.769097074582126,3.6888794541139363,9.205976319760984,28.442925306655784,6.568077911411976,525,6.734591659972948,0,0,0,0,1,0,0,0,0,0,0
15.60727002719233,4.382026634673881,8.235593481953805,15.84297951775486,4.31748811353631,169,5.25227342804663,1,1,0,0,0,0,0,0,0,1,0
14.832551192938572,3.5553480614894135,9.57078889120432,19.519221295943137,5.730099782973574,309,5.017279836814924,0,0,0,0,0,1,0,0,0,0,0
14.92242164944708,3.5553480614894135,9.57078889120432,20.639767440550294,5.3471075307174685,381,5.5134287461649825,0,0,0,0,0,1,0,0,0,0,0
14.703401815316731,3.784189633918261,8.875400119021522,27.568097504180443,6.6240652277998935,430,6.802394763324311,0,0,0,0,1,0,0,0,0,0,0
14.830741237693333,3.4965075614664802,8.908253540479407,18.867962264113206,5.517452896464707,495,5.799092654460526,1,0,0,0,0,0,0,0,0,0,0
14.808762330974558,3.5553480614894135,8.5774869198428,17.146428199482248,5.5254529391317835,77,4.02535169073515,1,1,0,0,0,0,1,0,0,0,0
15.60727002719233,4.2626798770413155,7.571701961296973,19.949937343260004,5.420534999272286,32,4.007333185232471,1,1,0,0,0,0,0,0,0,0,0
15.573368475516649,4.155753190350744,8.399056398212556,15.937377450509228,4.61512051684126,157,5.0369526024136295,1,1,0,0,0,0,0,0,0,1,0
15.732433170146335,4.736198448394496,7.112504432212722,16.911534525287763,5.455321115357702,322,5.480638923341991,1,0,0,0,0,0,0,0,0,0,0
14.950133284155417,3.7612001156935624,8.54400374531753,19.261360284258224,5.3706380281276624,222,4.983606621708336,0,1,0,0,0,0,0,0,0,0,0
14.946912669455374,3.6635616461296463,8.548336133331821,16.06237840420901,5.25227342804663,125,4.418840607796598,1,1,0,0,0,0,0,0,1,0,0
15.137266397946593,3.9318256327243257,8.198517321717983,14.317821063276353,5.093750200806762,246,5.147494476813453,0,0,0,0,0,1,0,0,0,0,0
14.797589030376432,3.6109179126442243,8.520474097117795,16.06237840420901,5.442417710521793,113,4.418840607796598,1,1,0,0,0,0,0,0,1,0,0
15.671808548329901,4.269697449699962,8.970815151117788,17.4928556845359,5.356586274672012,312,5.429345628954441,1,1,0,0,0,0,0,0,0,0,0
14.75160391713461,3.5409593240373143,9.769814499892966,14.491376746189438,5.075173815233827,269,5.003946305945459,0,0,0,0,0,1,0,0,0,0,0
14.48333993053993,3.091042453358316,10.01283760959137,19.77371993328519,5.765191102784844,363,5.111987788356544,0,0,0,0,0,1,0,0,0,0,0
15.606436346443752,4.356708826689592,7.957598919699435,20.8806130178211,5.594711379601839,366,5.808142489980444,0,1,0,0,0,0,0,0,0,0,0
15.524793805368091,4.127134385045092,7.801984859119856,16.881943016134134,5.442417710521793,383,5.6937321388027,0,0,0,1,0,0,0,0,0,0,0
15.001828427051489,3.9318256327243257,9.109357395385404,18.49324200890693,5.598421958998375,248,4.787491742782046,0,0,0,0,0,1,0,0,0,0,0
14.852247442914296,3.6375861597263857,9.617692030835672,13.0,5.0689042022202315,501,4.948759890378168,0,0,0,0,0,0,0,0,0,0,0
15.473738634567807,4.324132656254979,7.602718231219098,14.071247279470288,4.770684624465665,235,5.480638923341991,0,0,0,0,0,0,0,0,1,0,0
14.977097645793773,3.9512437185814275,9.115017001971886,17.175564037317667,5.438079308923196,310,5.429345628954441,0,1,0,0,0,0,0,0,0,0,0
15.837720153688977,4.51085950651685,7.098986152656194,11.489125293076057,4.330733340286331,215,4.859812404361672,1,1,0,0,0,0,0,0,1,0,0
15.285686403064867,4.110873864173311,7.762879303581063,14.177446878757825,4.74493212836325,232,5.4680601411351315,1,1,0,0,0,0,0,0,1,0,0
14.880221294956703,3.5553480614894135,8.5774869198428,17.146428199482248,5.5254529391317835,77,4.02535169073515,1,1,0,0,0,0,0,0,0,0,0
15.118423310145113,3.9318256327243257,9.342922245123919,20.97617696340303,5.375278407684165,431,5.817111159963204,0,0,0,0,0,1,0,0,0,0,0
